ID;Variable_Name;Raster_resolution_M;Description base;Description full
1;plot_id;;Unique identifier for each plot in the study;Unique identifier for each plot in the study
2;site;;Geographical location or site of the study area;Geographical location or site of the study area
3;49_chm_density_above1m;0.1;vegetation density accounting for canopy height above 1m with moving window 5m (49pixels) ;vegetation density accounting for canopy height above 1m with moving window 5m (49pixels)  at original resolution of  0.1 m
4;49_mean_above1m;0.1;vegetation density accounting for canopy height above 1m with moving window 5m (49pixels) ;vegetation density accounting for canopy height above 1m with moving window 5m (49pixels)  at original resolution of  0.1 m
5;89_chm_density_above1m;0.1;vegetation density accounting for canopy height above 1m with moving window 9m (89pixels) ;vegetation density accounting for canopy height above 1m with moving window 9m (89pixels)  at original resolution of  0.1 m
6;89_mean_above1m;0.1;vegetation density accounting for canopy height above 1m with moving window 9m (89pixels) ;vegetation density accounting for canopy height above 1m with moving window 9m (89pixels)  at original resolution of  0.1 m
7;9_chm_density_above1m;0.1;vegetation density accounting for canopy height above 1m with moving window 1m (9pixels) ;vegetation density accounting for canopy height above 1m with moving window 1m (9pixels)  at original resolution of  0.1 m
8;9_mean_above1m;0.1;vegetation density accounting for canopy height above 1m with moving window 1m (9pixels) ;vegetation density accounting for canopy height above 1m with moving window 1m (9pixels)  at original resolution of  0.1 m
9;aspect;0.1;aspect;aspect at original resolution of  0.1 m
10;catch_area;0.1;catchment area;catchment area at original resolution of  0.1 m
11;cgene;0.1;convergence index;convergence index at original resolution of  0.1 m
12;chm;0.1;canopy height model;canopy height model at original resolution of  0.1 m
13;cplan;0.1;plan curvature;plan curvature at original resolution of  0.1 m
14;cprof;0.1;profile curvature;profile curvature at original resolution of  0.1 m
15;hillshade;0.1;hillshade;hillshade at original resolution of  0.1 m
16;insolation.diffuse;0.1;diffuse solar radiation;diffuse solar radiation at original resolution of  0.1 m
17;insolation.direct;0.1;direct solar radiation;direct solar radiation at original resolution of  0.1 m
18;insolation.total;0.1;total solar radiation;total solar radiation at original resolution of  0.1 m
19;slope;0.1;slope;slope at original resolution of  0.1 m
20;swi;0.1;soil wetness index;soil wetness index at original resolution of  0.1 m
21;veg_above1m;0.1;vegetation above 1m binary ;vegetation above 1m binary  at original resolution of  0.1 m
22;X1m_49_chm_density_above1m;1;vegetation density accounting for canopy height above 1m with moving window 5m (49pixels) ;vegetation density accounting for canopy height above 1m with moving window 5m (49pixels)  resampled to 1 m
23;X1m_49_mean_above1m;1;vegetation density accounting for canopy height above 1m with moving window 5m (49pixels) ;vegetation density accounting for canopy height above 1m with moving window 5m (49pixels)  resampled to 1 m
